type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[2, 0, 4]			[2, 5, 5]	o	['K', 'K', 'K', 'K', 'K']
dep	[3, 0, 3]			[3, 4, 4]	ga	['K', 'K', 'K', 'K', 'K']
dep	[4, 12, 20]			[4, 21, 21]	ni	['K', 'K', 'K', 'K', 'K']
zero		私が	[5, 1]	[5, 1, 1]	ga	['A', 'A', 'A', 'A', 'D']
zero		彼女が	[6, 25]	[6, 68, 68]	ga	['A', 'A', 'F', 'D', 'D']
zero		私が	[7, 1]	[7, 2, 2]	ga	['A', 'A', 'A', 'A', 'D']
zero		婦人の生活の中枢である性的生活が	[8, 12]	[8, 33, 33]	ga	['A', 'A', 'A', 'A', 'A']
dep	[9, 25, 26]			[9, 27, 27]	o	['H', 'H', 'K', 'F', 'F']
dep	[11, 0, 2]			[11, 13, 13]	ga	['F', 'F', 'I', 'F', 'F']
dep	[12, 2, 3]			[12, 4, 4]	ga	['K', 'K', 'K', 'K', 'H']
dep	[13, 3, 4]			[13, 13, 13]	ga	['D', 'F', 'D', 'D', 'F']
dep	[16, 0, 1]			[16, 2, 2]	o	['H', 'H', 'K', 'K', 'H']
zero		あなたが	[17, 6]	[17, 13, 13]	ga	['A', 'Ａ', 'A', 'A', 'D']
dep	[20, 15, 28]			[20, 29, 29]	o	['K', 'K', 'K', 'K', 'K']
dep	[22, 0, 2]			[22, 48, 48]	ga	['F', 'D', 'F', 'F', 'F']
zero		僕が	[25, 24]	[25, 84, 84]	ga	['A', 'A', 'D', 'A', 'D']
zero		世間の奴らが	[26, 8]	[26, 26, 26]	ga	['F', 'A', 'F', 'A', 'A']
zero		君が	[28, 2]	[28, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
dep	[29, 131, 141]			[29, 142, 143]	o	['K', 'K', 'K', 'K', 'K']
dep	[32, 37, 38]			[32, 39, 39]	ga	['F', 'H', 'D', 'K', 'F']
dep	[33, 7, 16]			[33, 29, 29]	ga	['H', 'K', 'K', 'K', 'K']
zero		感情が	[34, 5]	[34, 10, 11]	ga	['A', 'A', 'A', 'A', 'A']
dep	[35, 73, 74]			[35, 79, 79]	ga	['H', 'F', 'F', 'K', 'F']
dep	[36, 4, 5]			[36, 11, 11]	ga	['K', 'K', 'K', 'K', 'K']
dep	[37, 29, 31]			[37, 32, 33]	o	['K', 'K', 'K', 'K', 'K']
dep	[39, 0, 1]			[39, 14, 15]	ga	['K', 'K', 'K', 'K', 'K']
dep	[40, 0, 1]			[40, 16, 16]	o	['F', 'F', 'F', 'F', 'F']
dep	[42, 70, 91]			[42, 92, 92]	ga	['K', 'K', 'K', 'K', 'K']
dep	[43, 28, 31]			[43, 32, 32]	ga	['K', 'K', 'K', 'K', 'K']
dep	[44, 15, 16]			[44, 37, 37]	ga	['H', 'D', 'K', 'K', 'F']
dep	[46, 0, 7]			[46, 8, 8]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[47, 1]	[47, 10, 10]	ga	['D', 'A', 'A', 'D', 'D']
dep	[48, 0, 1]			[48, 4, 4]	ga	['F', 'H', 'F', 'K', 'H']
dep	[49, 0, 1]			[49, 7, 7]	ga	['F', 'H', 'F', 'F', 'F']
zero		君が	[50, 3]	[50, 7, 7]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[52, 1]	[52, 6, 6]	ga	['D', 'A', 'A', 'A', 'D']
zero		保子さんに	[53, 5]	[53, 14, 14]	ni	['A', 'A', 'D', 'A', 'A']
dep	[54, 6, 15]			[54, 16, 16]	ga	['K', 'K', 'K', 'K', 'K']
dep	[55, 37, 38]			[55, 44, 45]	ga	['F', 'D', 'F', 'F', 'F']
zero		私が	[56, 13]	[56, 39, 39]	ga	['D', 'A', 'A', 'A', 'A']
zero		あなたが	[57, 9]	[57, 20, 20]	ga	['D', 'A', 'D', 'A', 'D']
zero		私が	[58, 1]	[58, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
dep	[59, 3, 21]			[59, 27, 27]	o	['K', 'K', 'K', 'K', 'K']
zero		あなたが	[61, 9]	[61, 19, 19]	ga	['A', 'A', 'A', 'A', 'A']
dep	[62, 3, 10]			[62, 14, 14]	ga	['K', 'K', 'K', 'K', 'K']
zero		君によって	[63, 10]	[63, 19, 19]	ga	['A', 'A', 'D', 'A', 'A']
dep	[65, 8, 9]			[65, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
zero		保子さんに	[66, 1]	[66, 4, 4]	ga	['F', 'D', 'D', 'D', 'D']
zero		どうでもいいというような態度はお止しになった方が	[70, 6]	[70, 17, 17]	ga	['A', 'A', 'A', 'A', 'A']
dep	[71, 1, 2]			[71, 19, 19]	ga	['D', 'D', 'K', 'D', 'F']
zero		あなたが	[72, 5]	[72, 16, 16]	ga	['A', 'A', 'A', 'A', 'D']
zero		私が	[73, 5]	[73, 13, 13]	ga	['A', 'A', 'D', 'A', 'A']
zero		私が	[74, 2]	[74, 7, 7]	ga	['A', 'A', 'D', 'D', 'A']
dep	[75, 0, 2]			[75, 5, 5]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[76, 3]	[76, 7, 7]	ga	['A', 'A', 'A', 'A', 'A']
